Sl. No,States/UTs,Rural - No. of Persons,Rural - %of Persons,Urban - No. of Persons,Urban - %of Persons,Combined - No. of Persons,Combined - %of Persons
1,Andhra Pradesh,61.8,10.96,16.98,5.81,78.78,9.2
2,Arunachal Pradesh,4.2,38.93,0.66,20.33,4.91,34.67
3,Assam,92.1,33.89,9.21,20.49,101.27,31.98
4,Bihar,320.4,34.06,37.75,31.23,358.15,33.74
5,Chhattisgarh,88.9,44.61,15.22,24.75,104.12,39.93
6,Delhi,0.5,12.92,16.46,9.84,16.96,9.91
7,Goa,0.4,6.81,0.38,4.09,0.75,5.09
8,Gujarat,75.4,21.54,26.88,10.14,102.23,16.63
9,Haryana,19.4,11.64,9.41,10.28,28.83,11.16
10,Himachal Pradesh,5.3,8.48,0.3,4.33,5.59,8.06
11,Jammu & Kashmir,10.7,11.54,2.53,7.2,13.26,10.35
12,Jharkhand,104.1,40.84,20.24,24.83,124.33,36.96
13,Karnataka,92.8,24.53,36.96,15.25,129.76,20.91
14,Kerala,15.5,9.14,8.46,4.97,23.94,7.05
15,Madhya Pradesh,191,35.74,43.1,21,234.05,31.65
16,Maharashtra,150.6,24.22,47.36,9.12,197.92,17.35
17,Manipur,7.4,38.8,2.78,32.59,10.23,36.89
18,Meghalaya,3,12.53,0.57,9.26,3.61,11.87
19,Mizoram,1.9,35.43,0.37,6.36,2.28,20.4
20,Nagaland,2.8,19.93,1,16.48,3.76,18.88
21,Odisha,126.1,35.69,12.39,17.29,138.53,32.59
22,Puducherry,0.7,17.06,0.55,6.3,1.24,9.69
23,Punjab,13.4,7.66,9.82,9.24,23.17,8.26
24,Rajasthan,84.2,16.05,18.73,10.69,102.92,14.71
25,Sikkim,0.4,9.85,0.06,3.66,0.51,8.19
26,Tamil Nadu,59.2,15.83,23.4,6.54,82.63,11.28
27,Tripura,4.5,16.53,0.75,7.42,5.24,14.05
28,Uttar Pradesh,479.4,30.4,118.84,26.06,598.19,29.43
29,Uttarakhand,8.2,11.62,3.35,10.48,11.6,11.26
30,West Bengal,141.1,22.52,43.83,14.66,184.97,19.98
31,A & N Islands,0.04,1.57,0,0,0.04,1
32,Chandigarh,0.004,1.64,2.34,22.31,2.34,21.81
33,Dadra and Nagar,1.2,62.59,0.28,15.38,1.43,39.31
34,Daman and Diu,0,0,0.26,12.62,0.26,9.86
35,Lakshadweep,0,0,0.02,3.44,0.02,2.77
All India,All India,2166.6,25.7,531.25,13.7,2697.83,21.92
